NO;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;komoditi;luas_tanaman_belum_menghasilkan;luas_tanaman_menghasilkan;luas_tanaman_tidak_menghasilkan_atau_tanaman_rusak;jumlah;satuan;tahun
1;15;JAMBI;1504;BATANGHARI;KELAPA SAWIT;12.159;93.090;6.494;111.743;HEKTAR;2022
2;15;JAMBI;1505;MUARO JAMBI;KELAPA SAWIT;16.572;90.044;30.066;136.682;HEKTAR;2022
3;15;JAMBI;1508;BUNGO;KELAPA SAWIT;26.156;30.119;14.920;71.195;HEKTAR;2022
4;15;JAMBI;1509;TEBO;KELAPA SAWIT;15.305;42.511;10.795;68.611;HEKTAR;2022
5;15;JAMBI;1502;MERANGIN;KELAPA SAWIT;11.700;34.960;22.895;69.555;HEKTAR;2022
6;15;JAMBI;1503;SAROLANGUN;KELAPA SAWIT;11.824;38.392;4.199;54.415;HEKTAR;2022
7;15;JAMBI;1506;TANJAB BARAT;KELAPA SAWIT;22.702;58.276;6.786;87.764;HEKTAR;2022
8;15;JAMBI;1507;TANJAB TIMUR;KELAPA SAWIT;46;31.541;6.312;37.899;HEKTAR;2022
9;15;JAMBI;1501;KERINCI;KELAPA SAWIT;40;44;-;84;HEKTAR;2022
10;15;JAMBI;1504;BATANGHARI;KELAPA SAWIT;12.733;93.090;6.494;71.916;HEKTAR;2023
11;15;JAMBI;1505;MUARO JAMBI;KELAPA SAWIT;19.437;90.044;30.066;139.547;HEKTAR;2023
12;15;JAMBI;1508;BUNGO;KELAPA SAWIT;26.572;30.119;14.920;71.611;HEKTAR;2023
13;15;JAMBI;1509;TEBO;KELAPA SAWIT;15.347;42.614;11.272;69.233;HEKTAR;2023
14;15;JAMBI;1502;MERANGIN;KELAPA SAWIT;9.166;46.660;14.075;69.901;HEKTAR;2023
15;15;JAMBI;1503;SAROLANGUN;KELAPA SAWIT;12.848;39.560;3.826;56.234;HEKTAR;2023
16;15;JAMBI;1506;TANJAB BARAT;KELAPA SAWIT;22.797;58.646;6.716;88.159;HEKTAR;2023
17;15;JAMBI;1507;TANJAB TIMUR;KELAPA SAWIT;787;30.800;7.293;38.880;HEKTAR;2023
18;15;JAMBI;1501;KERINCI;KELAPA SAWIT;40;44;-;84;HEKTAR;2023
