NO;nama_provinsi;mandiri;maju;berkembang;tertinggal;sangat_tertinggal;total_desa
1;JAWA TIMUR;2800;3674;1247;0;0;7721
2;JAWA BARAT;1828;2553;930;0;0;5311
3;KALIMANTAN BARAT;877;547;606;16;0;2046
4;JAWA TENGAH;825;3646;3307;32;0;7810
5;RIAU;600;585;406;0;0;1591
6;BALI;502;132;2;0;0;636
7;SULAWESI SELATAN;471;873;757;162;3;2266
8;SULAWESI UTARA;407;622;453;25;0;1507
9;ACEH;400;1260;3984;804;49;6500
10;KALIMANTAN SELATAN;294;1074;501;2;0;1872
11;JAMBI;391;518;476;29;0;1414
12;DAERAH ISTIMEWA YOGYAKARTA;256;136;0;0;0;392
13;NUSA TENGGARA BARAT;252;480;282;7;0;1021
14;SUMATERA BARAT;226;486;298;25;0;1035
15;KALIMANTAN TIMUR;209;364;263;5;0;841
16;KALIMANTAN TENGAH;194;391;704;143;0;1432
17;LAMPUNG;181;1008;1253;4;0;2446
18;SULAWESI TENGAH;132;666;893;151;0;1842
19;SUMATERA SELATAN;100;733;1964;58;0;2855
20;KEPULAUAN BANGKA BELITUNG;98;188;23;0;0;309
21;GORONTALO;93;306;255;3;0;657
22;MALUKU;82;291;569;254;4;1200
23;SUMATERA UTARA;72;618;3131;1073;523;5417
24;BENGKULU;59;458;749;75;0;1341
25;KALIMANTAN UTARA;58;67;226;96;0;447
26;BANTEN;52;353;731;100;2;1238
27;NUSA TENGGARA TIMUR;27;355;1546;1131;78;3137
28;KEPULAUAN RIAU;24;100;151;0;0;275
29;SULAWESI BARAT;21;120;290;137;7;575
30;SULAWESI TENGGARA;16;316;1408;166;2;1908
31;MALUKU UTARA;8;87;477;450;45;1067
32;PAPUA BARAT;3;20;205;918;596;1742
33;PAPUA;2;35;373;391;147;948
34;PAPUA SELATAN;0;4;74;156;443;677
35;PAPUA TENGAH;0;2;88;313;769;1172
36;PAPUA PEGUNUNGAN;0;0;17;418;2182;2617
