no;kode_provinsi;nama_provinsi;kode_kabupaten;kategori_ruas_jalan;ruas_jalan;satuan;tahun
1;15;JAMBI;1504;BAIK;42.12;KM;2023
2;15;JAMBI;1504;SEDANG;4.8;KM;2023
3;15;JAMBI;1504;RUSAK;6.936;KM;2023
4;15;JAMBI;1504;RUSAK BERAT;1;KM;2023
5;15;JAMBI;1509;BAIK;40.27;KM;2023
6;15;JAMBI;1509;SEDANG;55.269;KM;2023
7;15;JAMBI;1509;RUSAK;10.44;KM;2023
8;15;JAMBI;1509;RUSAK BERAT;1.2;KM;2023
9;15;JAMBI;1571;BAIK;25.9;KM;2023
10;15;JAMBI;1571;SEDANG;20.127;KM;2023
11;15;JAMBI;1571;RUSAK;3.2;KM;2023
12;15;JAMBI;1571;RUSAK BERAT;0.269;KM;2023
13;15;JAMBI;1501;BAIK;32.76;KM;2023
14;15;JAMBI;1501;SEDANG;3.6;KM;2023
15;15;JAMBI;1501;RUSAK;0.562;KM;2023
16;15;JAMBI;1501;RUSAK BERAT;0.4;KM;2023
17;15;JAMBI;1502;BAIK;102.196;KM;2023
18;15;JAMBI;1502;SEDANG;57.42;KM;2023
19;15;JAMBI;1502;RUSAK;26.205;KM;2023
20;15;JAMBI;1502;RUSAK BERAT;10.002;KM;2023
21;15;JAMBI;1505;BAIK;50.6;KM;2023
22;15;JAMBI;1505;SEDANG;35;KM;2023
23;15;JAMBI;1505;RUSAK;32.074;KM;2023
24;15;JAMBI;1505;RUSAK BERAT;11.62;KM;2023
25;15;JAMBI;1503;BAIK;33.05;KM;2023
26;15;JAMBI;1503;SEDANG;68.7;KM;2023
27;15;JAMBI;1503;RUSAK;43.6;KM;2023
28;15;JAMBI;1503;RUSAK BERAT;26.9;KM;2023
29;15;JAMBI;1572;BAIK;8.95;KM;2023
30;15;JAMBI;1572;SEDANG;0;KM;2023
31;15;JAMBI;1572;RUSAK;0.2;KM;2023
32;15;JAMBI;1572;RUSAK BERAT;0;KM;2023
33;15;JAMBI;1507;BAIK;30.16;KM;2023
34;15;JAMBI;1507;SEDANG;5.443;KM;2023
35;15;JAMBI;1507;RUSAK;2.32;KM;2023
36;15;JAMBI;1507;RUSAK BERAT;0.66;KM;2023
37;15;JAMBI;1506;BAIK;35.8;KM;2023
38;15;JAMBI;1506;SEDANG;33.306;KM;2023
39;15;JAMBI;1506;RUSAK;21.201;KM;2023
40;15;JAMBI;1506;RUSAK BERAT;9.6;KM;2023
41;15;JAMBI;1508;BAIK;88.39;KM;2023
42;15;JAMBI;1508;SEDANG;25.194;KM;2023
43;15;JAMBI;1508;RUSAK;18;KM;2023
44;15;JAMBI;1508;RUSAK BERAT;7.4;KM;2023
